name,address,city,state,zip,lat,lng,site
1000 Islands RV Centre,409 2,Gananoque,Ontario,K7G 2V4,44.336825,-76.120745,RVT
A.S. Levesque Inc.,430 Rue Couture,Ste-Helene,Quebec,J0H 1M0,45.780544,-72.751872,RVT
Aberdeen The RV Place,755 Rothesay Ave,Saint John,New Brunswick,E2H 2H6,45.3221944,-66.0239987,RVT
Action Trailers,4728 Egremont Dr,Strathroy,Ontario,N7G 3H3,43.004744,-81.608019,RVT
Adventure Motors Marine & RV,238 Archimedes St,New Glasgow,Nova Scotia,B2H 2T9,45.5860077,-62.6448775,RVT
Adventure RV,299 Thompson Rd W,Waterford,Ontario,N0E 1Y0,42.934711,-80.292693,RVT
Adventure Sales & Service,451 James Blvd,Gander,Newfoundland,A1V 1W8,48.963168,-54.626506,RVT
Adventure Sports Ltd.,802 Main St,Dartmouth,Nova Scotia,B2W 3V1,44.698206,-63.491365,RVT
Affordable Trailer Sales,Highway # 1 West,Regina,Saskatchewan,S4P 3C2,50.326449,-104.583516,RVT
Airport Motor Homes,2327 Dundas St,London,Ontario,N5V 1R4,43.007794,-81.16487,RVT
Alco Sports Inc.,2380 Mnt Masson,Laval,Quebec,H7B 0B2,45.6650126,-73.6344124,RVT
All Star RV,137 Turbo Dr,Sherwood Park,Alberta,T8H 2J6,53.570997,-113.285306,RVT
Allan Dale RVs & Trailers,3 Queens Dr,Red Deer,Alberta,T4P 0K1,52.29958,-113.821093,RVT
Allan Dale Trailers & RVs,11755 231 St,Edmonton,Alberta,T5S 2C5,53.541457,-113.712179,RVT
Alma Homes & Campers Ltd.,2657 Westville Rd,New Glasgow,Nova Scotia,B2H 5C6,45.631208,-62.690795,RVT
Arrkann Trailer - Calgary,729 Highfield Gate,Calgary,Alberta,T0M 0N0,51.5654144287109,-114.104629516602,RVT
Arrkann Trailer - Carstairs,729 Highfield Gate,Carstairs,Alberta,T0M 0N0,51.5654144287109,-114.104629516602,RVT
Arrkann Trailer - Edmonton,1904 80 Ave NW,Edmonton,Alberta,T6P 1N2,53.516194,-113.372852,RVT
Arrkann Trailer - Edmonton North,1904 80 Ave NW,Edmonton,Alberta,T6P 1N2,53.516194,-113.372852,RVT
Arrkann Trailer - Medicine Hat,1153 Trans Canada Way S E,Medicine Hat,Alberta,T1B 1H9,50.002724,-110.652532,RVT
Automotion Motors & RV,7225 Dallas Dr,Kamloops,British Columbia,V2C 4S9,50.663144,-120.133158,RVT
