name,address,city,state,zip,lat,lng,site
Yates Motors,2600 North 10th Street,Gering,Nebraska,69341,41.72097,-103.632808,rvtool
Woolworth RV Center,2405 Highway 77 Bypass,S Sioux City,Nebraska,68776,42.467422,-96.44705,rvtool
Wolf RV Llc,435 North 6th,Arlington,Nebraska,68002,41.499022,-96.337716,rvtool
Liberty RV,9125 South Virginia,Reno,Nevada,89511,39.385441,-119.876909,rvtool
M A T T S,"316 California Avenue, Suite 853",Reno,Nevada,89509,39.495806,-119.827882,rvtool
Johnstone Supply Of Henderson,671 Middlegate Road,Henderson,Nevada,89015,36.039314,-114.928032,rvtool
York Auto & Camper Sales,213 South Baldwin Avenue,Marion,Indiana,46952,40.599427,-85.629225,rvtool
Paine's RV Sales & Service,190 Plaza Drive,Waterloo,Iowa,50707,42.458164,-92.260032,rvtool
Cedar Lane Boat,1402 4th Street Sw,Waverly,Iowa,50677,42.766935,-92.426212,rvtool
Yarbrough Equip Sales & Service,9776 East State Highway 00,Strafford,Missouri,65757,37.282791,-93.099771,rvtool
Windler Wholesale,2744 Lasalle Street,St Louis,Missouri,63104,38.611126,-90.214086,rvtool
Wilder RV Inc,4282 Jade Road,Kingdom City,Missouri,65262,38.960143,-91.955313,rvtool
Westside Enterprises,10024 North Highway 65,Chillicothe,Missouri,64601,39.805381,-93.579097,rvtool
Wheelen RV Center,4300 South Rangeline,Joplin,Missouri,64804,37.021691,-94.510899,rvtool
Woody's Ems,431 South Washington,Kankakee,Illinois,60901,41.109505,-87.897917,rvtool
Woody's Electronics,814 South 16th Street,Decatur,Illinois,62521,39.81707,-88.926317,rvtool
Kohlman Hill Inc,4241 North Ravenswood,Chicago,Illinois,60613,41.956949,-87.654272,rvtool
Midwest Finest RV Repair,16444 Cherry Creek Court,Joliet,Illinois,60433,41.499502,-88.043681,rvtool
Midwest Campers,722 East 4th Street,Alton,Illinois,62002,38.938538,-90.125303,rvtool
Vroom Auto Mall & RV Plaza,18319 Us Highway 20 West,East Dubuque,Illinois,61025,42.471378,-90.555965,rvtool
Vacationland,47W529 US Route 30,Big Rock,Illinois,60511,41.758993,-88.551993,rvtool
United Canvas & Awning,25434 West Route 173,Antioch,Illinois,60002,42.471741,-88.084493,rvtool
Us Adventure RV,535 South Frontage Road,Bolingbrook,Illinois,60440,41.7006,-88.075006,rvtool
Wade Supply,626 Mary Lake Drive,Bryan,Texas,77801,30.639285,-96.362454,rvtool
Wagner Auto & RV,1010 Sidney Baker,Kerrville,Texas,78028,30.036565,-99.163069,rvtool
Uftring Automotive,335 Chestnut Street,Minonk,Illinois,61760,40.879243,-89.021795,rvtool
Thomas Construction,"Rt 1, Box 3015",Shepherd,Texas,77371,30.483532,-94.989562,rvtool
W R Cosgrove,1750 Shumaker,South Lake,Texas,76092,32.959875,-97.148437,rvtool
W & B Service Company Inc,2006 North Timberland,Lufkin,Texas,75901,31.301675,-94.641408,rvtool
Vogt Motor Homes,5624 Airport Freeway,Fort Worth,Texas,76117,32.803436,-97.267376,rvtool
Vantage RV Repair,5096 Lakeshore Blvd,The Colony,Texas,75056,33.070183,-96.917772,rvtool
Visionaire Inc,502 Jesse Street,Grand Prairie,Texas,75051,32.72944,-96.996462,rvtool
Van Horn Koa Kampground,10 Kampers Lane,Van Horn,Texas,79855,31.09348,-104.624514,rvtool
Valley Truck & Van,812 East Hackberry,Mcallen,Texas,78501,26.215816,-98.239592,rvtool
United Truck Maintenance Inc,1200 South Interstate 35,Carrollton,Texas,75006,32.962141,-96.898585,rvtool
Valley Traveland Inc,6201 West Business 83,Harlingen,Texas,78552,26.193782,-97.75069,rvtool
United Refrigeration,1001 Broadway,San Antonio,Texas,78217,29.538074,-98.415198,rvtool
United RV Center,5100 Airport Freeway,Fort Worth,Texas,76117,32.803436,-97.267376,rvtool
United Air Conditioning Supply,9920 Westpark Road,Houston,Texas,77063,29.736295,-95.523292,rvtool
Ultra Sport,4721 West Marshall Avenue,Longview,Texas,75601,32.50856,-94.724049,rvtool
Unique Conversions,1502 Highway 157 North,Mansfield,Texas,76063,32.57074,-97.144837,rvtool
Twin City Refrigeration,1406 South Lake Drive,Texarkana,Texas,75501,33.371831,-94.139813,rvtool
Tyler RV Center Inc,985 East Ne Loop 323,Tyler,Texas,75708,32.418412,-95.21307,rvtool
