,0
0,"409 2, Gananoque, ON K7G 2V4, Canadá"
1,"7819 State Hwy 47, Union, MO 63084, Estados Unidos"
2,None
3,"4503 Bristol Hwy, Johnson City, TN 37601, Estados Unidos"
4,"130 Capital Way, Christiana, TN 37037, Estados Unidos"
5,"3269 Winfield Dunn Pkwy, Kodak, TN 37764, Estados Unidos"
6,"6820 Arctic Blvd, Anchorage, AK 99518, Estados Unidos"
7,None
8,"23360 I-20 Frontage Rd, Wills Point, TX 75169, Estados Unidos"
9,"28908 Co Rd 87D, Winters, CA 95694, Estados Unidos"
10,"28908 Co Rd 87D, Winters, CA 95694, Estados Unidos"
11,"975 Walnut St # 300F, Cary, NC 27511, Estados Unidos"
12,"1594 US-1, Kittrell, NC 27544, Estados Unidos"
13,None
14,None
15,"430 Rue Couture, Sainte-Hélène-de-Bagot, QC J0H 1M0, Canadá"
16,"2619 N Telegraph Rd, Monroe, MI 48162, Estados Unidos"
17,"2050 Glendale Ave, Sparks, NV 89431, Estados Unidos"
18,"959 Sayre Dr, Greenwood, IN 46143, Estados Unidos"
19,"8103 Old Seward Hwy, Anchorage, AK 99518, Estados Unidos"
20,"1001 SW 1st St, Oak Grove, MO 64075, Estados Unidos"
21,"1180 W Lake St, Bartlett, IL 60103, Estados Unidos"
22,"21191 US-45 ALT, Aberdeen, MS 39730, Estados Unidos"
23,"755 Rothesay Ave, Saint John, NB E2H 2H6, Canadá"
24,"550 S Redwood Rd, North Salt Lake, UT 84054, Estados Unidos"
25,"1800 US-59, Livingston, TX 77351, Estados Unidos"
26,"1800 US-59, Livingston, TX 77351, Estados Unidos"
27,"4728 Egremont Dr, Strathroy, ON N7G 3H3, Canadá"
28,None
29,"4000 Utica Pike, Jeffersonville, IN 47130, Estados Unidos"
30,"6606 W Layton Ave, Milwaukee, WI 53220, Estados Unidos"
31,"Clifton Park, NY 12065, Estados Unidos"
32,"3252 88th Ave, Zeeland, MI 49464, Estados Unidos"
33,None
34,"230 Victory Ln, Almo, KY 42020, Estados Unidos"
35,"230 Victory Ln, Almo, KY 42020, Estados Unidos"
36,"238 Archimedes St, New Glasgow, NS B2H 2T9, Canadá"
37,None
38,"299 Thompson Rd W, Waterford, ON N0E 1Y0, Canadá"
39,"11090 Chicory Ridge Way, Roscoe, IL 61073, Estados Unidos"
40,"15619 US Hwy 63, Hayward, WI 54843, Estados Unidos"
41,"1220 Main Ave W, West Fargo, ND 58078, Estados Unidos"
