name,address,city,state,zip,lat,lng,
Zone Systems Co Inc,"9524 3rd Place,",Lorton,Virginia,22079,38.674606,-77.209739,
Lynchburg RV,"11647 Wards Road,",Rustburg,Virginia,24588,37.262151,-79.096232,
Tveten's RV Mart,"8864 Se 82nd Avenue,",Portland,Oregon,97266,45.482967,-122.557619,
Bill Olinger RV Center,"9134 Sw Canyon Road,",Portland,Oregon,97124,45.569079,-122.946701,
Daryl's RV Village Inc,"1711 Ne 7th Street,",Grants Pass,Oregon,97526,42.535682,-123.338285,
D & L Recreational Vehicle,"16282 Lower Harbor Road,",Brookings,Oregon,97415,42.084386,-124.174762,
D C Enterprise,"4881 Sb Chetco Road,",Brookings,Oregon,97415,42.084386,-124.174762,
Speed Demon Trukworx,"527 North 13th Street,",Blackwell,Oklahoma,74631,36.792837,-97.305252,
Weekend RV Center,"1458 Clinton Highway,",Clinton,Tennessee,37716,36.097124,-84.175183,
Wriker Pontiac-olds-gmc Truck,"41a Bypass & Cowan Road,",Winchester,Tennessee,37398,35.181209,-86.138387,
Price Rite Of Tennessee,"104 County Road 157,",Riceville,Tennessee,37370,35.356625,-84.700173,
Willow Springs Resort & Marina,"Rt 1, Box 279,",Mead,Oklahoma,73449,34.008689,-96.544119,
Unique Auto Sales & RV,"9313 Lee Highway,",Ooltewah,Tennessee,37363,35.115688,-85.063804,
Holiday World Dallas,"4630 I-30 East,",Mesquite,Texas,75150,32.817399,-96.630416,
Holiday World Austin South,"17600 I-35 South,",Buda,Texas,78610,30.078514,-97.838012,
Holiday RV's,"2401 South Loop 289,",Lubbock,Texas,79423,33.439976,-101.855463,
Trailers America,"6490 Route 4,",Fairfield,Ohio,45014,39.325714,-84.55239,
Ontario Cycle Center Inc,"30 Muar Street,",Canandaigua,New York,14424,42.856695,-77.303277,
Young RV Sales,"101 Oak Grove Road,",Kings Mountain,North Carolina,28086,35.244245,-81.377832,
Zanesville RV & Marine,"11 Hayes Street,",Zanesville,Ohio,43701,39.96922,-81.991033,
Stacconi Equipment,"51 Valley Street,",Endwell,New York,13760,42.133332,-76.084622,
Thomas RV Salvage & Repair,"306 North Sandhill Blvd,",Aberdeen,North Carolina,28315,35.117305,-79.431532,
Mountain Campers Supply,"210 Sugarloaf Road,",Hendersonville,North Carolina,28792,35.383008,-82.369906,
The Family RV Center Inc,"1250 Northside Drive,",Statesville,North Carolina,28625,35.869567,-80.88964,
Timberlake RV Center Inc,"8215 Durham Road,",Timberlake,North Carolina,27583,36.292958,-78.935362,
Terry Labonte Chevrolet,"1401 Bridford Parkway,",Greensboro,North Carolina,27407,36.008599,-79.87816,
Terrell Camping Center Inc,"7995 Highway 150 East,",Terrell,North Carolina,28682,35.588255,-80.965153,
Tarheel Services,"7804 Barefoot Road,",Fuquay Varina,North Carolina,27526,35.54401,-78.829824,
Taylors Sport-n-imports,"724 Oakridge Farm Road,",Mooresville,North Carolina,28115,35.58591,-80.772464,
T & M Service Company Llc,"210 Amherst Road,",Morganton,North Carolina,28655,35.763266,-81.749862,
Surf City Family Campground,"2460 Island Drive,",North Topsail Beach,North Carolina,28460,34.541298,-77.418235,
Suncoast RV - Charlotte,"4921 West Highway 74,",Monroe,North Carolina,28110,35.066044,-80.509089,
Sun & Shade,"5009 5th Street,",Surf City,North Carolina,28445,34.483968,-77.556317,
Steve Bumgarner Camping Ctr,"120 Cedar Valley Road,",Hudson,North Carolina,28638,35.845093,-81.477938,
Sterling Motors,"Po Box 1850,",Garner,North Carolina,27529,35.655625,-78.584906,
Style Crest Home Products,"4926 North Tryon Street,",Charlotte,North Carolina,28213,35.285986,-80.734388,
Springs Creek RV,"1160 Highway 221 South,",Marion,North Carolina,28752,35.709599,-82.035573,
Spevco Inc,"8118 Reynolda Road,",Pfafftown,North Carolina,27040,36.169312,-80.393045,
Southern Run Farm & Repair,"5731 Nc Highway 49 South,",Denton,North Carolina,27239,35.60066,-80.090226,
