name,address,city,state,zip,lat,lng
417 RV,1801 Russland Rd,Vars,Ontario,K0A 3H0,45.3335261,-75.3476031
Centerline RV Ltd.,4015 Mayor Magrath Dr. S,Lethbridge,Alberta,T1K 6Y7,49.65425,-112.791834
Grove RV & Leisure,100 Saint Matthews Avenue,Spruce Grove,Alberta,T7X 3B4,53.544269,-113.901587
High River Autoplex & RV,102-24 Street SE,High River,Alberta,T1V 0B3,50.575893,-113.831442
John Doe's RV Paradise - Gotham,101,Kelowna,British Columbia,V1Y 9T1,49.8982565,-119.426469
Jubilee RV Centre,1302 B Salish Road,Kamloops,British Columbia,V2H 1J9,50.70634,-120.33656
LongHaul Trailer Sales,1150 Wallace Ave North,Listowel,Ontario,N4W 1M5,43.741504,-80.945127
Meridian RV - Port Coquitlam,1690 Coast Meridian Rd.,Port Coquitlam,British Columbia,V3C 3T8,49.245457,-122.75601
Midtown RV,310 Industrial Ave. W.,Penticton,British Columbia,V2A 9B3,49.478747,-119.592279
Monaco Montreal,"13500, Henri-Fabri",Mirabel,Quebec,J7N 0A6,45.644884,-74.085219
Ottawa Camping Trailers,4815 Bank Street South,Ottawa,Ontario,K1X 1G6,45.304189,-75.584206
Owasco RV Centre,570 Rundle Road,Clarington,Ontario,L1E 0L4,43.9486341,-78.7622095
Pine Acres RV,80 Commerce St.,Moncton,New Brunswick,E1H 0A5,46.163768,-64.798219
RV Canada - Ottawa,2098 Prince of Wales Drive,Ottawa,Ontario,K2E 7A5,45.338105,-75.701398
Safari RV,2747 Chamberland St,Rockland,Ontario,K4K 1B2,45.540731,-75.293088
Sicard RV,7526 Regional Rd 20,Smithville,Ontario,L0R 2A0,43.085973,-79.619484
Summerland RV Center,1720 Wharf St.,Summerland,British Columbia,V0H 1Z9,49.572704,-119.627824
Sun Valley RV,24114 PTH 3,Stanley,Manitoba,R6P 0A9,49.186817,-98.165565
Sylvan Lake RV,3 Erickson Drive,Sylvan Lake,Alberta,T4S 1P5,52.316745,-114.072834
Tilbury Auto Sales & RV,20600 Regional Road 42,Tilbury,Ontario,N0P 2L0,42.275962,-82.428746
Voyager RV,9250 Hwy 97,Winfield,British Columbia,V4V 1P9,50.008688,-119.4031122
Woody's RV World - Abbotsford,2102 Peardonville Rd.,Abbotsford,British Columbia,V2T 6J8,49.04615,-122.370608
Woody's RV World - Calgary,11700 - 29th Street SE,Calgary,Alberta,T2Z 3W9,50.9495265,-113.9965785
Woody's RV World - Edmonton,14510 Mark Messier Trail NW,Edmonton,Alberta,T6V 1H5,53.600473,-113.576163
Woody's RV World - Grande Prairie,14320 100 Street,Grande Prairie,Alberta,T8V 7C7,55.2075324,-118.7930388
Woody's RV World - Leduc,8012 Sparrow Crescent,Leduc,Alberta,T9E 7G1,53.30059,-113.543843
Woody's RV World - Red Deer,71 Burnt Park Drive,Red Deer,Alberta,T4P 0J7,52.2960364,-113.8290358
Woody's RV World - Saskatoon,3630 Idylwyld Drive N,Saskatoon,Saskatchewan,S7L 6G3,52.187826,-106.670154
