name,address,city,state,zip,lat,lng
Montgomery KOA,11091 Atlanta Hwy,Montgomery,Alabama,36117,32.378728,-86.145011
Ozark / Fort Rucker KOA Journey,2414 N US Hwy 231,Ozark,Alabama,36360,31.467469,-85.61703
Gulf Shores / Pensacola West KOA Holiday,11650 County Road 99,Lillian,Alabama,36549,30.410999,-87.455589
Decatur / Wheeler Lake KOA Holiday,44 County Road 443,Hillsboro,Alabama,35643,34.672577,-87.201931
Wisconsin Dells KOA Holiday,South 235A Stand Rock Road,Wisconsin Dells,Wisconsin,53965,43.671422,-89.748134
Milton KOA Holiday,872 E State Rd 59,Milton,Wisconsin,53563,42.804493,-88.915995
Hixton / Alma Center KOA Holiday,N9657 State Road 95,Alma Center,Wisconsin,54611,44.447714,-90.952181
Winthrop / N. Cascades National Park KOA Holiday,1114 State Route 20,Winthrop,Washington,98862,48.602734,-120.32053
Starbuck / Lyons Ferry Marina KOA Holiday,102 Lyons Ferry Road,Starbuck,Washington,99359,46.548514,-118.094765
Tulsa NE / Will Rogers Downs  KOA Journey,20900 South 4200 Road,Claremore,Oklahoma,74019,36.284765,-95.603194
Philadelphia South / Clarksboro KOA Holiday,117 Timberlane Rd,Clarksboro,New Jersey,08020,39.791562,-75.22414
Wendover KOA Journey,651 North Camper Drive,West Wendover,Nevada,89883,40.84892,-114.157677
Reno KOA Journey at Boomtown,2100 Garson Rd,Verdi,Nevada,89439,39.520351,-119.9998
Laughlin / Avi Casino KOA Journey,10000 Aha Macav Parkway,Laughlin-7001,Nevada,89029,35.129221,-114.656524
Las Vegas KOA Journey at Sam's Town,5225 Boulder Hwy,Las Vegas,Nevada,89122,36.106432,-115.040286
Ely KOA Journey,1596 South US Highway 93,Ely,Nevada,89301,39.54005,-114.770485
Yellowstone Park / West Gate KOA Holiday,3305 Targhee Pass Highway,West Yellowstone,Montana,59758,44.741942,-111.182902
Yellowstone Park / Mountainside KOA Journey,1545 Targhee Pass Hwy,West Yellowstone,Montana,59758,44.741942,-111.182902
Starkville KOA Holiday,2661 County Lake Road,Starkville,Mississippi,39759,33.437924,-88.825142
Weidman KOA Holiday,1855 North Coldwater Road,Weidman,Michigan,48893,43.685543,-84.97505
